max_pixels,bitrate
12288,95892
19200,135504
21120,145888
25344,168023
38400,231836
64000,344400
76800,396653
84480,427051
96000,471513
101376,491844
103680,500483
112320,532503
120000,560501
128000,589240
153600,678641
168960,730651
202752,841506
224000,909058
230400,929118
307200,1161100
337920,1250085
345600,1272042
368640,1337264
384000,1380235
405504,1439750
407040,1443974
409920,1451883
414720,1465038
460800,1589646
480000,1640726
518400,1741534
552960,1830829
589824,1924703
614400,1986550
786432,2405264
912384,2698662
921600,2719757
983040,2859210
995328,2886862
1024000,2951086
1049088,3006950
1228800,3398829
1296000,3541970
1310720,3573100
1440000,3843232
1470000,3905121
1555200,4079363
1622016,4214505
1638400,4247451
1764000,4497612
1920000,4802813
2073600,5097902
2211840,5359291
2304000,5531503
2359296,5634083
2457600,5815124
2592000,6060029
2688000,6233208
2764800,6370750
3145728,7040805
3686400,7961404
4085760,8621822
4096000,8638559
4953600,10009382
5038848,10142584
5184000,10368225
5242880,10459349
5760000,11250092
5880000,11431258
6000000,11611594
6144000,11826928
6291456,12046256
6553600,12433341
7372800,13621327
7680000,14059024
8294400,14922822
8847360,15687974
9216000,16192079
11059200,18648764
12000000,19866510
12582912,20610182
14745600,23305002
16384000,25287203
20358144,29920991
20971520,30617105
26214400,36395470
30720000,41154247
33177600,43682800
35389440,45922587
36864000,47398228
44236800,54589555
67108864,75394630
132710400,127870381
141557760,134426794
