max_pixels,bitrate
12288,71078
19200,99556
21120,106984
25344,122773
38400,168014
64000,247083
76800,283546
84480,304702
96000,335576
101376,349669
103680,355652
112320,377808
120000,397153
128000,416984
153600,478522
168960,514225
202752,590113
224000,636229
230400,649906
307200,807568
337920,867822
345600,882672
368640,926747
384000,955754
405504,995893
407040,998739
409920,1004070
414720,1012934
460800,1096802
480000,1131132
518400,1198804
552960,1258664
589824,1321513
614400,1362877
786432,1642103
912384,1837005
921600,1850997
983040,1943423
995328,1961736
1024000,2004253
1049088,2041217
1228800,2300035
1296000,2394379
1310720,2414883
1440000,2592626
1470000,2633302
1555200,2747734
1622016,2836402
1638400,2858006
1764000,3021917
1920000,3221577
2073600,3414314
2211840,3584802
2304000,3697008
2359296,3763803
2457600,3881612
2592000,4040830
2688000,4153318
2764800,4242602
3145728,4676873
3686400,5271825
4085760,5697537
4096000,5708315
4953600,6589333
5038848,6674769
5184000,6819432
5242880,6877830
5760000,7384058
5880000,7499909
6000000,7615183
6144000,7752768
6291456,7892839
6553600,8139889
7372800,8896898
7680000,9175376
8294400,9724310
8847360,10209876
9216000,10529450
11059200,12083355
12000000,12851623
12582912,13320205
14745600,15014687
16384000,16257853
20358144,19154616
20971520,19588750
26214400,23183221
30720000,26132391
33177600,27695811
35389440,29078752
36864000,29988931
44236800,34414608
67108864,47140583
132710400,78880449
141557760,82819206
