max_pixels,bitrate
12288,141457
19200,200239
21120,215665
25344,248563
38400,343522
64000,511333
76800,589333
84480,634735
96000,701169
101376,731559
103680,744474
112320,792352
120000,834228
128000,877224
153600,1011038
153600,1011038
168960,1088928
168960,1088928
202752,1255035
202752,1255035
224000,1356312
230400,1386393
307200,1734498
337920,1868123
345600,1901101
368640,1999082
384000,2063648
405504,2153091
407040,2159439
409920,2171327
414720,2191100
460800,2378442
480000,2455261
518400,2606898
552960,2741256
589824,2882538
614400,2975638
614400,2975638
786432,3606305
912384,4048556
921600,4080364
983040,4290663
995328,4332369
1024000,4429242
1049088,4513515
1228800,5104890
1296000,5320990
1310720,5367991
1440000,5775943
1470000,5869430
1555200,6132667
1622016,6336873
1638400,6386660
1764000,6764767
1920000,7226206
2073600,7672498
2211840,8067932
2304000,8328509
2359296,8483746
2457600,8757754
2592000,9128487
2688000,9390689
2764800,9598961
3145728,10613902
3686400,12009133
3686400,12009133
4085760,13010549
4096000,13035933
4953600,15115788
5038848,15317965
5184000,15660482
5242880,15798814
5760000,16999479
5880000,17274623
6000000,17548527
6144000,17875617
6291456,18208804
6553600,18796911
7372800,20602408
7680000,21267823
8294400,22581328
8847360,23745150
9216000,24512069
11059200,28251200
12000000,30105581
12582912,31238327
14745600,35344702
16384000,38366732
20358144,45435847
20971520,46498311
26214400,55322164
30720000,62594434
33177600,66460279
35389440,69885583
36864000,72142742
44236800,83147573
67108864,115023842
132710400,195602697
141557760,205683889
